timestamp,symbol,regime,confidence,playbook,stance,direction,entry_price,position_size_usd,leverage,stop_loss,take_profit,exit_price,realized_pnl,running_balance,reason,features_json,config_fingerprint,input_hash,prev_hash,row_hash
2026-06-25T11:05:17.010402+00:00,BTCUSDT,BEARISH,0.881,trend_following_short,TRADE,LONG,65000.0,600.0,4,63050.0,68900.0,63050.0,-72.0,9928.0,"regime BEARISH confidence 0.88, account healthy -> TRADE at default risk budget","{""liquidity_score"": 0.924, ""macro_risk_flag"": false, ""news_shock_flag"": false, ""sentiment_score"": -0.765, ""trend_strength"": -0.728, ""volatility"": 0.327}",4f337236d134744d401518e83e7454b3da71ddbff2bcbea6d8a2ef6b5f4c8bf5,74769185facbac33477a97ade9a78928aec659adf2a0179d5d57678bfd94a7bc,0000000000000000000000000000000000000000000000000000000000000000,0ce5fe0f0e5e57e571debe67f8671d2205a1e5abe73831d7cd812e54495acb08
2026-06-25T11:05:17.011622+00:00,BTCUSDT,BULLISH,0.9996,trend_following_long,TRADE,LONG,63050.0,794.24,5,61158.5,66833.0,66833.0,238.27,10166.27,"regime BULLISH confidence 1.00, account healthy -> TRADE at default risk budget","{""liquidity_score"": 0.901, ""macro_risk_flag"": false, ""news_shock_flag"": false, ""sentiment_score"": 0.058, ""trend_strength"": 0.988, ""volatility"": 0.166}",4f337236d134744d401518e83e7454b3da71ddbff2bcbea6d8a2ef6b5f4c8bf5,9499652726187d08ed59debcc7ddf61f9867b1d28a8442482526a9f205c6575d,0ce5fe0f0e5e57e571debe67f8671d2205a1e5abe73831d7cd812e54495acb08,40d19501818d0d7b108590754513002aa7e0676bc6029ca5b7a2a260917cb550
2026-06-25T11:05:17.013013+00:00,BTCUSDT,BEARISH,0.7412,trend_following_short,TRADE,LONG,66833.0,609.98,4,64828.01,70842.98,70842.98,146.4,10312.67,"regime BEARISH confidence 0.74, account healthy -> TRADE at default risk budget","{""liquidity_score"": 0.956, ""macro_risk_flag"": false, ""news_shock_flag"": false, ""sentiment_score"": -0.201, ""trend_strength"": -0.701, ""volatility"": 0.725}",4f337236d134744d401518e83e7454b3da71ddbff2bcbea6d8a2ef6b5f4c8bf5,771be34a767b928e5115f135efb6ff4db7a53fa0b1ff393f6922e7a4394620eb,40d19501818d0d7b108590754513002aa7e0676bc6029ca5b7a2a260917cb550,d3714f80f53b611ea2857231be30c122bdbe1139931b214f149a6acfc33277be
2026-06-25T11:05:17.013013+00:00,BTCUSDT,BULLISH,0.6188,trend_following_long,TRADE,NONE,,,,,,,,10312.67,"regime BULLISH confidence 0.62, account healthy -> TRADE at default risk budget; playbook trend_following_long emitted no signal","{""liquidity_score"": 0.873, ""macro_risk_flag"": true, ""news_shock_flag"": false, ""sentiment_score"": 0.039, ""trend_strength"": 0.611, ""volatility"": 0.298}",4f337236d134744d401518e83e7454b3da71ddbff2bcbea6d8a2ef6b5f4c8bf5,d398e2430439473ac5f55f651775c8adb45bc650217fef28382de7e7d4355152,d3714f80f53b611ea2857231be30c122bdbe1139931b214f149a6acfc33277be,f91a0ec47838ede08205dd93fdef77c2904b8e41f135c20d20abe6ed283ce4dd
2026-06-25T11:05:17.013013+00:00,BTCUSDT,CHOPPY,0.5,mean_reversion_range,REDUCE,NONE,,,,,,,,10312.67,regime CHOPPY confidence 0.50 below 0.6 -> REDUCE; playbook mean_reversion_range emitted no signal,"{""liquidity_score"": 0.475, ""macro_risk_flag"": false, ""news_shock_flag"": false, ""sentiment_score"": -0.849, ""trend_strength"": 0.458, ""volatility"": 0.136}",4f337236d134744d401518e83e7454b3da71ddbff2bcbea6d8a2ef6b5f4c8bf5,8ba28e4c516ff06a3f5735b12ca81f3c6ddd2336338afeb20bf305562d4c6aa8,f91a0ec47838ede08205dd93fdef77c2904b8e41f135c20d20abe6ed283ce4dd,631d5c6caa1f875e6e1f513b64a8b8f3512b2893f4a3a057b39606feead11db0
2026-06-25T11:05:17.014084+00:00,BTCUSDT,TRANSITIONING,0.9,NONE,PAUSE,NONE,,,,,,,,10312.67,"regime TRANSITIONING (news_shock_flag triggered forced TRANSITIONING) -> PAUSE, no playbook trusted","{""liquidity_score"": 0.467, ""macro_risk_flag"": true, ""news_shock_flag"": true, ""sentiment_score"": -0.158, ""trend_strength"": 0.173, ""volatility"": 0.97}",4f337236d134744d401518e83e7454b3da71ddbff2bcbea6d8a2ef6b5f4c8bf5,6ac669c6e5f877ca7b8c1c89faeb5e6db4a2fed703f57bd5cdaaa0f671401b4d,631d5c6caa1f875e6e1f513b64a8b8f3512b2893f4a3a057b39606feead11db0,6b965a25ebecce57ba93f66d30279e0a4ed3106119cd752c38f0c0db35e2a77d
2026-06-25T11:05:17.014084+00:00,BTCUSDT,BULLISH,0.773,trend_following_long,TRADE,LONG,70842.98,825.01,5,68717.6906,75093.5588,75093.5588,247.5,10560.17,"regime BULLISH confidence 0.77, account healthy -> TRADE at default risk budget","{""liquidity_score"": 0.968, ""macro_risk_flag"": false, ""news_shock_flag"": false, ""sentiment_score"": 0.26, ""trend_strength"": 0.721, ""volatility"": 0.525}",4f337236d134744d401518e83e7454b3da71ddbff2bcbea6d8a2ef6b5f4c8bf5,297f7a6cd8c3c3c64fdd50a1ef29ebf762e60919b2e8d48b3310939a1d835eec,6b965a25ebecce57ba93f66d30279e0a4ed3106119cd752c38f0c0db35e2a77d,d8950c962db5e609243d288820b16221c2cfb5e7c56e50702cc4a49d3fc35d09
2026-06-25T11:05:17.015083+00:00,BTCUSDT,BEARISH,0.8098,trend_following_short,TRADE,NONE,,,,,,,,10560.17,"regime BEARISH confidence 0.81, account healthy -> TRADE at default risk budget; playbook trend_following_short emitted no signal","{""liquidity_score"": 0.936, ""macro_risk_flag"": false, ""news_shock_flag"": false, ""sentiment_score"": 0.311, ""trend_strength"": -0.872, ""volatility"": 0.069}",4f337236d134744d401518e83e7454b3da71ddbff2bcbea6d8a2ef6b5f4c8bf5,e763c48b8d57e44c86c69bec7b4bcadfeaafa2e7b592ce7ba2a3ab6b4be61c6e,d8950c962db5e609243d288820b16221c2cfb5e7c56e50702cc4a49d3fc35d09,877b119f78d9ebf3ae132bfe98197cdf5037a595196ed2bfbe17337a175f8a7f
2026-06-25T11:05:17.015083+00:00,BTCUSDT,TRANSITIONING,0.9,NONE,PAUSE,NONE,,,,,,,,10560.17,"regime TRANSITIONING (news_shock_flag triggered forced TRANSITIONING) -> PAUSE, no playbook trusted","{""liquidity_score"": 0.337, ""macro_risk_flag"": true, ""news_shock_flag"": true, ""sentiment_score"": -0.188, ""trend_strength"": -0.027, ""volatility"": 0.047}",4f337236d134744d401518e83e7454b3da71ddbff2bcbea6d8a2ef6b5f4c8bf5,03af80c40cbb2fc21d237de2ee2b840615bf88fb4217cc5bcf3e51de53fc3eb8,877b119f78d9ebf3ae132bfe98197cdf5037a595196ed2bfbe17337a175f8a7f,399ce37a16bb3b5148b8061fbe0edec050d32eb0ed8f43ab08aeb684a5f652b4
2026-06-25T11:05:17.015083+00:00,BTCUSDT,CHOPPY,0.5,mean_reversion_range,REDUCE,LONG,75093.5588,132.0,2,72840.752,79599.1723,72840.752,-7.92,10552.25,regime CHOPPY confidence 0.50 below 0.6 -> REDUCE,"{""liquidity_score"": 0.885, ""macro_risk_flag"": false, ""news_shock_flag"": false, ""sentiment_score"": 0.255, ""trend_strength"": 0.157, ""volatility"": 0.723}",4f337236d134744d401518e83e7454b3da71ddbff2bcbea6d8a2ef6b5f4c8bf5,ba7796f39e69c5989612c42a779f972bf63d3aea629af84371414c68306fbbb1,399ce37a16bb3b5148b8061fbe0edec050d32eb0ed8f43ab08aeb684a5f652b4,8e55772c9f1519ee41cb225872765e36dbe0d5438feb0cdb3d7e4c902de8f4d1
